ID,Language,Type,Title,Slug,Priority,Translation Status,Categories
5069,en,dt_portfolio,How to phasellus vitae convallis,how-to-phasellus-vitae-convallis,LOW,Missing translation,Ecommerce
6258,en,dt_portfolio,How to phasellus vitae convallis,how-to-phasellus-vitae-convallis-2,LOW,Missing translation,Business
38,ru,page,О компании,about,HIGH,Missing translation,Необязательный
40,ru,page,Контакты,contact,HIGH,Missing translation,Необязательный
45,ru,page,Что такое РАС?,chto-takoe-ras,MEDIUM,Missing translation,
49,ru,page,Тиляпия,tilyapiya,MEDIUM,Missing translation,
162,ru,page,"Проект ""Баррамунди-20""",proekt-barramundi-20,MEDIUM,Missing translation,Необязательный
167,ru,page,"Проект ""Угорь-10""",proekt-ugor-10,MEDIUM,Missing translation,
444,uk,page,"Проект ""Кларієвий сом - 50""",proekt-klariyevij-som-50,MEDIUM,Missing translation,
580,ru,page,Проект фермы по выращиванию креветок,proekt-fermy-po-vyrashhivaniyu-krevetok,MEDIUM,Missing translation,
4966,en,page,Contacts,contacts,HIGH,Missing translation,Optional
4970,en,page,About us,about-company,HIGH,Missing translation,Optional
4972,uk,page,Про компанію,pro-kompaniyu,MEDIUM,Missing translation,Необов'язково
5924,en,page,What is RAS?,what-is-ras,MEDIUM,Missing translation,
588,uk,page,Vismar Aqua Ltd Ukraine (en),vismar-aqua-ltd-ukraine,MEDIUM,Missing translation,
3076,ru,page,Главная,glavnaya-2,MEDIUM,Missing translation,"Необов'язково, Необязательный"
4922,en,page,Main,main,HIGH,Missing translation,"Optional, Необов'язково"
4926,uk,page,"Проектування ферм по вирощуванні креветок, форелі, лосося та інших видів риби",golovna,MEDIUM,Missing translation,Необов'язково
5178,ru,page,Услуги,services,HIGH,Missing translation,Необязательный
5330,ru,page,Проекты,projects,HIGH,Missing translation,Необязательный
5363,ru,page,Оборудование,obrudovanie,MEDIUM,Missing translation,Необязательный
5533,ru,page,Информация,info,HIGH,Missing translation,Необязательный
5673,ru,page,Послуги,services,HIGH,Missing translation,Необов'язково
5706,ru,page,Проекти,projects,HIGH,Missing translation,Необов'язково
5749,uk,page,Iнформація,info,HIGH,Missing translation,Необов'язково
5810,ru,page,Обладнання,obladnannya,MEDIUM,Missing translation,Необов'язково
5938,en,page,Services,services,HIGH,Missing translation,Optional
5945,en,page,Info,info,HIGH,Missing translation,Optional
5948,en,page,Projects,projects,HIGH,Missing translation,Optional
5955,en,page,Equipment,equipment,HIGH,Missing translation,Optional
61,ru,post,Префильтр Ultrasieve,prefiltr-ultrasieve,LOW,Missing translation,"Optional, микросито, Микроситчатые фильтры"
64,ru,post,Барабанные фильтры Vismar Ecodrum,barabannye-filtry-vismar-ecodrum,LOW,Missing translation,"Optional, Барабанные фильтры, барабанный фильтр"
77,ru,post,Барабанные фильтры Vismar Aquadrum,barabannye-filtry-vismar-aquadrum,LOW,Missing translation,"Optional, Барабанные фильтры, барабанный фильтр"
91,ru,post,Высопроизводительные насосы Flowfriend,vysoproizvoditelnye-nasosy-flowfriend,LOW,Missing translation,"flowfriend, Optional, насос"
102,ru,post,Современная УЗВ: что это такое?,sovremennaya-uzv-chto-eto-takoe,LOW,Missing translation,"Optional, РАС, что такое УЗВ"
104,ru,post,Тиляпия - самый выгодный объект аквакультуры,tilyapiya-samyj-vygodnyj-obekt-akvakultury,LOW,Missing translation,Optional
112,ru,post,Расчет количества плавающей загрузки,raschet-kolichestva-plavayushhej-zagruzki,LOW,Missing translation,"Optional, биозагрузка, биофильтр"
115,ru,post,Приусадебное выращивание форели,forel_micro_uzv,LOW,Missing translation,"Optional, выращивание форели, микро УЗВ"
119,ru,post,Посадочный материал (рыба),posadochnyj-material-ryba,LOW,Missing translation,"Optional, зарыбок, посадочный материал"
122,ru,post,Команда Vismar Aqua на выставке Fishexpo 2015,komanda-vismar-aqua-na-vystavke-fishexpo-2015,LOW,Missing translation,"Optional, Відео"
130,ru,post,Мини установка для частных хозяйств,mini-ras,LOW,Missing translation,"Optional, выращивание креветок, выращивание раков"
135,ru,post,Мальки для РАС,ras-fingerlings-sturgeon-tilapia,LOW,Missing translation,"Optional, бестер, бестре"
143,ru,post,"Проект ""Форель-30""",proekt-forel-30,LOW,Missing translation,"Optional, выращивание форели, Проекты"
149,ru,post,Мальки тиляпии,malki-tilyapii,LOW,Missing translation,"Optional, малек тиляпии, Новости"
152,ru,post,"Проект ""Креветка ваннамей - 5""",proekt-krevetka-5,LOW,Missing translation,"Optional, креветка ваннамей, креветка узв"
6141,ru,page,Бизнес-план (ТЭО). Форель в УЗВ. Аквакультура. Рыбная ферма,forel-uzv,MEDIUM,Missing translation,Необязательный
6560,uk,page,Бізнес-план (ТЕО). Форель в УЗВ. Аквакультура. Рибна ферма,biznes-plan-teo-forel-v-uzv-akvakultura-rybna-ferma,MEDIUM,Missing translation,Необов'язково
175,ru,post,Бизнес: выращивание креветок,vyrashhivanie-krevetok,LOW,Missing translation,"Optional, бизнес выращивание креветки, Вопрос-ответ"
188,ru,post,Аквакультура: с чего начать?,akvakultura-s-chego-nachat,LOW,Missing translation,"Optional, аквакультура, Вопрос-ответ"
193,ru,post,Каких рыб выгодно выращивать?,kakih-ryb-vygodno-vyrashhivat,LOW,Missing translation,"Optional, Вопрос-ответ, клариевый сом"
199,ru,post,Риски в современной аквакультуре,riski-v-sovremennoj-akvakulture,LOW,Missing translation,"Optional, аквакультура, Вопрос-ответ"
206,ru,post,"Проект ""Клариевый сом - 10""",proekt-klarievyj-som-10,LOW,Missing translation,"Optional, клариевый сом, Проекты"
219,ru,post,Нефритовый окунь - будущее аквакультуры,nefritovyj-okun-budushhee-akvakultury,LOW,Missing translation,"Optional, нефритовый окунь, Рыба"
227,ru,post,Креветочные фермы в Таиланде,krevetochnye-fermy-v-tailande,LOW,Missing translation,"Optional, бизнес по выращиванию креветок, ваннамей"
243,uk,post,Устрицы в Украине?,oysters-in-ukraine,LOW,Missing translation,"Optional, выращивание устриц, Новости"
260,ru,post,Визит на современную лабораторию,genetical-lab-visit,LOW,Missing translation,"Optional, инкубация икры, мини РАС"
287,uk,post,Правильна циркуляція води в рибницьких ставках,pravilna-tsirkulyatsiya-vodi-v-ribnitskih-stavkah-kritichno-vazhliva-dlya-yih-funktsionuvannya,LOW,Missing translation,"Optional, аерація води, аэрация воды"
303,uk,post,Сом європейський - нові перспективи,som-yevropejskij-novi-perspektivi,LOW,Missing translation,"Optional, silurus glanis, Рыба"
312,uk,post,Біофлок - сучасна аквакультурна технологія,bioflok-suchasna-akvakulturna-tehnologiya,LOW,Missing translation,"biofloc technology, Optional, биофлок"
322,uk,post,Що заважає розвитку форелівництва?,trout-production-in-ukraine,LOW,Missing translation,"Optional, вирощування форелі, рас форель"
329,uk,post,Перспективи австралійських раків,perspektivi-avstralijskih-rakiv,LOW,Missing translation,"Optional, Новости, Проекты"
347,ru,post,"Проект ""Ракова ферма""",proekt-rakova-ferma,LOW,Missing translation,"Optional, Проекты, ракова ферма"
357,uk,post,Новинки аквакультури - сигові,novinki-akvakulturi-sigovi,LOW,Missing translation,"Optional, муксун, пелчир"
363,uk,post,В Україні з’явився перший посібник про розведення риби як бізнес,v-ukrayini-z-yavivsya-pershij-posibnik-pro-rozvedennya-ribi-yak-biznes,LOW,Missing translation,"Optional, довідник із аквакультури, Новости"
367,uk,post,Лакедра або жовтохвіст,lakedra-abo-zhovtohvist,LOW,Missing translation,"amberjack, Optional, yellowtail"
385,uk,post,Барабанні фільтри - механічна фільтрація (UKR),mehanichna-filtratsiya-ukr,LOW,Missing translation,"Optional, барабанний фільтр, Барабанные фильтры"
5926,en,post,Aquaculture: where to start?,aquaculture-where-to-start,LOW,Missing translation,"Aquaculture, Articles, News"
388,ru,post,Барабанные фильтры - механическая фильтрация (RU),barabannye-filtry-mehanicheskaya-filtratsiya-ru,LOW,Missing translation,"Optional, Барабанные фильтры, барабанный фильтр"
401,uk,post,Лосось Юрського періоду,losos-yurskogo-periodu,LOW,Missing translation,"Optional, выращивание лосося, лосось аквакультура"
409,uk,post,Розрахунок аерації для біологічного фільтру,rozrahunok-aeratsiyi-dlya-biologichnogo-filtru,LOW,Missing translation,"Optional, аерація води, биофильтр"
412,uk,post,"Програма ""Кларієвий сом"" в Україні офіційно стартувала!",programa-klariyevij-som-v-ukrayini-ofitsijno-startuvala,LOW,Missing translation,"Optional, кларій, клариевый сом"
428,uk,post,"Вперше конференція на тему ""Кларієвий сом: перспективи вирощування в Україні""",vpershe-konferentsiya-na-temu-klariyevij-som-perspektivi-viroshhuvannya-v-ukrayini,LOW,Missing translation,"Optional, кларієвий сом, клариевый сом"
432,uk,post,Екскурсія на рибну ферму,ekskursiya-na-ribnu-fermu,LOW,Missing translation,"Optional, екскурсія на рибну ферму, Проекты"
436,uk,post,Матеріали конференції «Кларієвий сом: перспективи вирощування в Україні»,materiali-konferentsiyi-klariyevij-som-perspektivi-viroshhuvannya-v-ukrayini,LOW,Missing translation,"Optional, кларій, Новости"
450,uk,post,5 причин чому виловлена із природніх водойм риба не завжди є корисною,5-prichin-chomu-vilovlena-iz-prirodnih-vodojm-riba-ne-zavzhdi-ye-korisnoyu,LOW,Missing translation,"Optional, стала аквакультура, Статьи"
455,uk,post,Перший урожай червоної тилапії,pershij-urozhaj-chervonoyi-tilapiyi,LOW,Missing translation,"Optional, Новости, Рыба"
465,uk,post,Розпочалося будівництво першої черги аквакультурного підприємства на Київщині,rozpochalosya-budivnitstvo-pershoyi-chergi-akvakulturnogo-pidpriyemstva-na-kiyivshhini,LOW,Missing translation,"Optional, африканський сом, Без категории"
477,uk,post,Гібрид смугастого басу - нове слово у вітчизняній аквакультурі,gibrid-smugastogo-basu-nove-slovo-u-vitchiznyanij-akvakulturi,LOW,Missing translation,"hybrid striped bass, Optional, гібрид смугастого баса"
486,uk,post,Шляхи інтенсифікації роботи барабанного фільтру в РАС,shlyahi-intensifikatsiyi-roboti-barabannogo-filtru-v-ras,LOW,Missing translation,"Optional, Барабанные фильтры, механічна фільтрація"
494,uk,post,Триплоїдність в аквакультурі,triployid-v-akvakulturi,LOW,Missing translation,"Optional, Новости, Рыба"
5847,uk,post,Триплоїдність в аквакультурі,tryployidnist-v-akvakulturi,LOW,Missing translation,"Новини, Риба, Статті"
5848,uk,post,Шляхи інтенсифікації роботи барабанного фільтру в РАС,shlyahy-intensyfikatsiyi-roboty-barabannogo-filtru-v-ras,LOW,Missing translation,"Барабанні фильтри, механічна фільтрація, РАС"
5849,uk,post,Гібрид смугастого басу - нове слово у вітчизняній аквакультурі,gibryd-smugastogo-basu-nove-slovo-u-vitchyznyanij-akvakulturi,LOW,Missing translation,"hybrid striped bass, гібрид смугастого баса, РАС"
5850,uk,post,Розпочалося будівництво першої черги аквакультурного підприємства на Київщині,rozpochalosya-budivnytstvo-pershoyi-chergy-akvakulturnogo-pidpryyemstva-na-kyyivshhyni,LOW,Missing translation,"африканський сом, Без категорії, кларій"
5851,uk,post,Перший урожай червоної тилапії,pershyj-urozhaj-chervonoyi-tylapiyi,LOW,Missing translation,"Новини, Риба"
5968,uk,post,The Catfish program in Ukraine has officially started!,the-catfish-program-in-ukraine-has-officially-started,LOW,Missing translation,"Articles, Catfish, Clary"
6312,uk,post,"Програма ""Кларієвий сом"" в Україні офіційно стартувала!",programa-klariyevyj-som-v-ukrayini-ofitsijno-startuvala,LOW,Missing translation,"Optional, кларієвий сом, кларій"
499,uk,post,Гігантська прісноводна креветка,macrobrachium-rosenbergii-ukraine,LOW,Missing translation,"Optional, гігантська креветка, креветки"
508,uk,post,"Чарівний морський черв'як ""нереїс""",charivnij-morskij-chervyak-nereyis,LOW,Missing translation,"nereis virens, Optional, поліхети"
516,uk,post,ЯКОЮ МАЄ БУТИ НАВЧАЛЬНА БАЗА ДЛЯ МАЙБУТНІХ РИБОВОДІВ?,yakoyu-maye-buti-navchalna-baza-dlya-majbutnih-ribovodiv,LOW,Missing translation,"Optional, навчальна база, Новости"
549,uk,post,Вирощування креветок в кліматичних умовах України,viroshhuvannya-krevetok-v-klimatichnih-umovah-ukrayini,LOW,Missing translation,"Optional, креветка ваннамей, креветка узв"
560,uk,post,Міні ферма по вирощуванню креветок,mini-ferma-po-viroshhuvannyu-krevetok,LOW,Missing translation,"Необязательный, Проекты"
568,uk,post,Технологія біофлокуляції: практичне застосування,tehnologiya-bioflokulyatsiyi-praktichne-zastosuvannya,LOW,Missing translation,"Optional, биофлок, Статьи"
1906,uk,post,Інтенсивна ставкова аквакультура,intensivna-stavkova-akvakultura,LOW,Missing translation,"Optional, Статьи"
1923,uk,post,Аквакультура в Ірані,akvakultura-v-irani,LOW,Missing translation,"Optional, іран, ваннамей"
2022,ru,post,Розчинений кисень (DO),rozchinenij-kisen-do,LOW,Missing translation,"dissolved oxygen, DO, Optional"
2120,uk,post,"Минь - річкова ""тріска""",min-richkova-triska,LOW,Missing translation,"lota lota, Optional, минь"
2286,uk,post,Шримс звичайний або піщана креветка,shrims-zvichajnij-abo-pishhana-krevetka,LOW,Missing translation,"Optional, креветка піщана, Новости"
5830,uk,post,"Минь - річкова ""тріска""",myn-richkova-triska,LOW,Missing translation,"РАС, Риба, Статті"
5832,ru,post,Розчинений кисень (DO),rozchynenyj-kysen-do,LOW,Missing translation,Риба
5833,uk,post,Аквакультура в Ірані,akvakultura-v-irani,LOW,Missing translation,"іран, ваннамей, голестан"
5834,uk,post,Інтенсивна ставкова аквакультура,intensyvna-stavkova-akvakultura,LOW,Missing translation,Статті
5842,uk,post,Технологія біофлокуляції: практичне застосування,tehnologiya-bioflokulyatsiyi-praktychne-zastosuvannya,LOW,Missing translation,"биофлок, Статті, технологія біофлокуляції"
5843,uk,post,Міні ферма по вирощуванню креветок,mini-ferma-po-vyroshhuvannyu-krevetok,LOW,Missing translation,"Необов'язково, Проекти"
5845,uk,post,"Чарівний морський черв'як ""нереїс""",charivnyj-morskyj-cherv-yak-nereyis,LOW,Missing translation,Статті
5846,uk,post,Гігантська прісноводна креветка,gigantska-prisnovodna-krevetka,LOW,Missing translation,"гігантська креветка, креветки, макробрахіум розенбергі"
5964,en,post,Mini farm for growing shrimp,mini-farm-for-growing-shrimp,LOW,Missing translation,"Optional, Projects"
2293,ru,post,Вирощування морських водоростей,viroshhuvannya-morskih-vodorostej,LOW,Missing translation,"Без категорії, Необов'язково"
2343,uk,post,Засіб для очищення води ReVac,zasib-dlya-ochishhennya-vodi-revac,LOW,Missing translation,"Optional, бактерії, Бактеріальні засоби"
2465,uk,post,Перспективи кефалівництва в Україні,perspektivi-kefalivnitstva-v-ukrayini,LOW,Missing translation,"Optional, кефаль, Рыба"
2897,uk,post,Вирощування креветки ваннамей в умовах низької соленості води,viroshhuvannya-krevetki-vannamej-v-umovah-nizkoyi-solenosti-vodi,LOW,Missing translation,"вирощування креветки, креветка ваннамей, Необязательный"
5059,uk,post,Вирощування креветки ваннамей в умовах низької соленості води,vyroshhuvannya-krevetky-vannamej-v-umovah-nyzkoyi-solenosti-vody,LOW,Missing translation,"вирощування креветки, креветка ваннамей, Необов'язково"
5771,uk,post,Перспективи кефалівництва в Україні,perspektyvy-kefalivnytstva-v-ukrayini,LOW,Missing translation,"Риба, Статті"
5827,uk,post,Шримс звичайний або піщана креветка,shryms-zvychajnyj-abo-pishhana-krevetka,LOW,Missing translation,"Новини, Статті"
5828,uk,post,Засіб для очищення води ReVac,zasib-dlya-ochyshhennya-vody-revac,LOW,Missing translation,"бактерії, Бактеріальні засоби, засіб для очищення води"
6988,uk,post,Форелівництво в Україні,forelivnytstvo-v-ukrayini,LOW,Missing translation,"Необов'язково, Риба, Статті"
7006,uk,post,"Вирощування кларієвого сома в Україні: перспективи, витрати, ринки збуту",klariy-v-ukraini-perspectiva,LOW,Missing translation,"Необов'язково, Новини, Статті"
7009,uk,post,Використання хлораміну-Т в аквакультурі,chloramin-usage-aquaculture,LOW,Missing translation,"chloramine-T, аквахлор, Бактеріальні засоби"
7020,uk,post,"Сезонне вирощування тиляпії на Півдні України: Технологія, Продуктивність та Економічний Аналіз",seasonal-tilapia-farming-south-of-ukraine,LOW,Missing translation,"HORECA (ХОРЕКА), Інтенсивне ставкове вирощування, Аерація ставків"
7041,uk,post,"HFTS: Технологія, що може змінити правила гри для української аквакультури",hfts-technology-can-be-a-game-changer,LOW,Missing translation,"HFTS, RAS, імпортозаміщення"
7064,en,post,Write for us sponsored posts,write-for-us-sponsored-posts,LOW,Missing translation,"blogs, Необов'язково"
